s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa,Pa,Pa,Pa,Pa,Pa,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1,ZONE_2,ZONE_3,ZONE_4,ZONE_5,ZONE_6,ZONE_7
 5.6356483E+000, 1.4535483E+002,-3.5268312E+001, 1.8025129E-001,-1.3502590E+000,-9.8095714E-003, 4.2956082E+001, 0.0000000E+000, 1.4565245E+002, 1.5186279E+002, 3.4278008E+001, 3.1245622E-003, 0.0000000E+000, 9.5700544E+001,-3.0060378E+000,-2.9779005E+000,-2.9591399E+000,-2.9475847E+000,-2.9765406E+000,-2.9478751E+000
 5.8292694E+000, 1.4756159E+002,-3.5455053E+001, 1.9081760E-001,-1.4780658E+000,-1.0146260E-002, 4.4063855E+001, 0.0000000E+000, 1.5088967E+002, 1.5487299E+002, 3.4278421E+001, 3.2343711E-003, 0.0000000E+000, 1.0247448E+002,-2.9886323E+000,-2.9779951E+000,-2.9571560E+000,-2.9464371E+000,-2.9733206E+000,-2.9426112E+000
 6.0228910E+000, 1.4958610E+002,-3.5461674E+001, 2.0142096E-001,-1.6126893E+000,-1.0485951E-002, 4.4807292E+001, 0.0000000E+000, 1.5354328E+002, 1.5750996E+002, 3.4278701E+001, 3.3441800E-003, 0.0000000E+000, 1.0936464E+002,-2.9746017E+000,-2.9781835E+000,-2.9564715E+000,-2.9465546E+000,-2.9713502E+000,-2.9407981E+000
 6.2165122E+000, 1.5105357E+002,-3.3588630E+001, 2.1166359E-001,-1.7672478E+000,-1.0796536E-002, 4.5806648E+001, 0.0000000E+000, 1.5617841E+002, 1.6170520E+002, 3.4278892E+001, 3.4440063E-003, 0.0000000E+000, 1.1637057E+002,-2.9646867E+000,-2.9784235E+000,-2.9568851E+000,-2.9474522E+000,-2.9704151E+000,-2.9420418E+000
 6.4101334E+000, 1.5257658E+002,-3.2802968E+001, 2.2114362E-001,-1.9435221E+000,-1.1137503E-002, 4.6859142E+001, 0.0000000E+000, 1.6062959E+002, 1.6489924E+002, 3.4279021E+001, 3.5538152E-003, 0.0000000E+000, 1.2357255E+002,-2.9590310E+000,-2.9786732E+000,-2.9581146E+000,-2.9487001E+000,-2.9702179E+000,-2.9456856E+000
 6.6037550E+000, 1.5484439E+002,-2.9868556E+001, 2.2981426E-001,-2.1448917E+000,-1.1476509E-002, 4.8276555E+001, 0.0000000E+000, 1.6360771E+002, 1.7132583E+002, 3.4279109E+001, 3.6636241E-003, 0.0000000E+000, 1.3090631E+002,-2.9572625E+000,-2.9788600E+000,-2.9598408E+000,-2.9499741E+000,-2.9704222E+000,-2.9509169E+000
 6.7973762E+000, 1.5805438E+002,-2.8515585E+001, 2.3743370E-001,-2.3709575E+000,-1.1812035E-002, 5.0136385E+001, 0.0000000E+000, 1.7058991E+002, 1.7752984E+002, 3.4279168E+001, 3.7734330E-003, 0.0000000E+000, 1.3854871E+002,-2.9586316E+000,-2.9789071E+000,-2.9617464E+000,-2.9510223E+000,-2.9706946E+000,-2.9568782E+000
 6.9909973E+000, 1.6289072E+002,-2.8553560E+001, 2.4437163E-001,-2.6131212E+000,-1.2113211E-002, 5.1915614E+001, 0.0000000E+000, 1.7665873E+002, 1.8387191E+002, 3.4279209E+001, 3.8732593E-003, 0.0000000E+000, 1.4646015E+002,-2.9621867E+000,-2.9787616E+000,-2.9635502E+000,-2.9516542E+000,-2.9707485E+000,-2.9627653E+000
 7.1846189E+000, 1.6927203E+002,-2.6922909E+001, 2.5079784E-001,-2.8702515E+000,-1.2440405E-002, 5.4378088E+001, 0.0000000E+000, 1.8303843E+002, 1.9409532E+002, 3.4279236E+001, 3.9830682E-003, 0.0000000E+000, 1.5465472E+002,-2.9669342E+000,-2.9784503E+000,-2.9650274E+000,-2.9517804E+000,-2.9703562E+000,-2.9678975E+000
 7.3782401E+000, 1.7664536E+002,-2.7176764E+001, 2.5679178E-001,-3.1386504E+000,-1.2762728E-002, 5.7299836E+001, 0.0000000E+000, 1.9388939E+002, 2.0387381E+002, 3.4279255E+001, 4.0928771E-003, 0.0000000E+000, 1.6332977E+002,-2.9719991E+000,-2.9779704E+000,-2.9660322E+000,-2.9513435E+000,-2.9693986E+000,-2.9717896E+000
 7.5718613E+000, 1.8518023E+002,-2.8782361E+001, 2.6301961E-001,-3.4172459E+000,-1.3081904E-002, 6.0003360E+001, 0.0000000E+000, 2.0348486E+002, 2.1323392E+002, 3.4279267E+001, 4.2026860E-003, 0.0000000E+000, 1.7243010E+002,-2.9767291E+000,-2.9773462E+000,-2.9665003E+000,-2.9503452E+000,-2.9678712E+000,-2.9741736E+000
 7.7654829E+000, 1.9378059E+002,-2.8234818E+001, 2.6972457E-001,-3.7142736E+000,-1.3368659E-002, 6.3101144E+001, 0.0000000E+000, 2.1279549E+002, 2.2518900E+002, 3.4279276E+001, 4.3025122E-003, 0.0000000E+000, 1.8194308E+002,-2.9807305E+000,-2.9766625E+000,-2.9664415E+000,-2.9488702E+000,-2.9658617E+000,-2.9749924E+000
 7.9591041E+000, 2.0193935E+002,-3.8977712E+001, 2.7650893E-001,-4.0394238E+000,-1.3683889E-002, 6.4303292E+001, 0.0000000E+000, 2.2516282E+002, 2.2348833E+002, 3.4279282E+001, 4.4123211E-003, 0.0000000E+000, 1.9200301E+002,-2.9838813E+000,-2.9759756E+000,-2.9659342E+000,-2.9470097E+000,-2.9635656E+000,-2.9743923E+000
 8.1527252E+000, 2.1040863E+002,-4.3197703E+001, 2.8460113E-001,-4.3130476E+000,-1.3996183E-002, 6.4560201E+001, 0.0000000E+000, 2.2118825E+002, 2.2772869E+002, 3.4279286E+001, 4.5221300E-003, 0.0000000E+000, 2.0189144E+002,-2.9862843E+000,-2.9755494E+000,-2.9651050E+000,-2.9449932E+000,-2.9612326E+000,-2.9726635E+000
 8.3463469E+000, 2.1739661E+002,-4.2100357E+001, 2.9329247E-001,-4.5985558E+000,-1.4308315E-002, 6.6921040E+001, 0.0000000E+000, 2.2677405E+002, 2.3789772E+002, 3.4279288E+001, 4.6319389E-003, 0.0000000E+000, 2.1202904E+002,-2.9881951E+000,-2.9756566E+000,-2.9641122E+000,-2.9430889E+000,-2.9591529E+000,-2.9702082E+000
 8.5399675E+000, 2.2399317E+002,-4.2031845E+001, 3.0319095E-001,-4.9133525E+000,-1.4596308E-002, 6.9734918E+001, 0.0000000E+000, 2.3767250E+002, 2.4707149E+002, 3.4279290E+001, 4.7317652E-003, 0.0000000E+000, 2.2264792E+002,-2.9899977E+000,-2.9761248E+000,-2.9631487E+000,-2.9413753E+000,-2.9577215E+000,-2.9675273E+000
 8.7056494E+000, 2.3469838E+002,-4.5468729E+001, 3.1255153E-001,-5.2044152E+000,-1.4887873E-002, 7.2376476E+001, 0.0000000E+000, 2.4649501E+002, 2.5669938E+002, 3.4279291E+001, 4.8315915E-003, 0.0000000E+000, 2.3206835E+002,-2.9917818E+000,-2.9768261E+000,-2.9625012E+000,-2.9402203E+000,-2.9573539E+000,-2.9654485E+000
 8.8713303E+000, 2.3318053E+002,-4.7130871E+001, 3.2092171E-001,-5.5154755E+000,-1.5149924E-002, 7.3101746E+001, 0.0000000E+000, 2.5634449E+002, 2.5394170E+002, 3.4279292E+001, 4.9214351E-003, 0.0000000E+000, 2.4186168E+002,-2.9941902E+000,-2.9779950E+000,-2.9621698E+000,-2.9398962E+000,-2.9580354E+000,-2.9639779E+000
