s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa,Pa,Pa,Pa,Pa,Pa,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1,ZONE_2,ZONE_3,ZONE_4,ZONE_5,ZONE_6,ZONE_7
 7.3043056E+000, 1.0320185E+002,-1.6368401E+001, 2.6445422E-001,-1.5162371E+000,-7.6398406E-003, 3.3839446E+001, 0.0000000E+000, 1.1549837E+002, 1.1941348E+002, 3.4279246E+001, 2.4257784E-003, 0.0000000E+000, 1.0316870E+002,-2.9117107E+000,-2.9751489E+000,-2.9560336E+000,-2.9461270E+000,-2.9559239E+000,-2.9428261E+000
 7.5187569E+000, 1.0624126E+002,-1.6536084E+001, 2.7312207E-001,-1.6734457E+000,-7.8859330E-003, 3.4759153E+001, 0.0000000E+000, 1.1809097E+002, 1.2305612E+002, 3.4279263E+001, 2.5056394E-003, 0.0000000E+000, 1.0904641E+002,-2.9168314E+000,-2.9742872E+000,-2.9570846E+000,-2.9455267E+000,-2.9544927E+000,-2.9471339E+000
 7.9476585E+000, 1.1254180E+002,-1.6336752E+001, 2.8588892E-001,-1.9408537E+000,-8.2049156E-003, 3.6987024E+001, 0.0000000E+000, 1.2489725E+002, 1.3152890E+002, 3.4279277E+001, 2.6104570E-003, 0.0000000E+000, 1.2147275E+002,-2.9296918E+000,-2.9720768E+000,-2.9582513E+000,-2.9434912E+000,-2.9509300E+000,-2.9530982E+000
 8.1621094E+000, 1.2033450E+002,-1.7585245E+001, 2.9889109E-001,-2.2210086E+000,-8.5202909E-003, 3.9459983E+001, 0.0000000E+000, 1.3336428E+002, 1.4027860E+002, 3.4279285E+001, 2.7152745E-003, 0.0000000E+000, 1.2810263E+002,-2.9358615E+000,-2.9710483E+000,-2.9583123E+000,-2.9421851E+000,-2.9488909E+000,-2.9543974E+000
 8.5910110E+000, 1.2858781E+002,-1.8539564E+001, 3.1288219E-001,-2.5071843E+000,-8.8329728E-003, 4.2228609E+001, 0.0000000E+000, 1.4288874E+002, 1.5007372E+002, 3.4279289E+001, 2.8200921E-003, 0.0000000E+000, 1.4229833E+002,-2.9459046E+000,-2.9700043E+000,-2.9576200E+000,-2.9395892E+000,-2.9449979E+000,-2.9538968E+000
 8.8054619E+000, 1.3638057E+002,-2.0136173E+001, 3.2793133E-001,-2.8102466E+000,-9.1758398E-003, 4.4734987E+001, 0.0000000E+000, 1.5217310E+002, 1.5848790E+002, 3.4279292E+001, 2.9348923E-003, 0.0000000E+000, 1.4985176E+002,-2.9498280E+000,-2.9700969E+000,-2.9570613E+000,-2.9385642E+000,-2.9435754E+000,-2.9525647E+000
 9.0199127E+000, 1.4066628E+002,-2.0352476E+001, 3.3875980E-001,-3.0316513E+000,-9.3839805E-003, 4.6263319E+001, 0.0000000E+000, 1.5751807E+002, 1.6387485E+002, 3.4279293E+001, 3.0047707E-003, 0.0000000E+000, 1.5766714E+002,-2.9533057E+000,-2.9705896E+000,-2.9565154E+000,-2.9378923E+000,-2.9428184E+000,-2.9509301E+000
 9.4488153E+000, 1.4539513E+002,-2.1354031E+001, 3.5583683E-001,-3.4027113E+000,-9.6951459E-003, 4.7936848E+001, 0.0000000E+000, 1.6459641E+002, 1.6892138E+002, 3.4279293E+001, 3.1095883E-003, 0.0000000E+000, 1.7399015E+002,-2.9600063E+000,-2.9727916E+000,-2.9559140E+000,-2.9380055E+000,-2.9441694E+000,-2.9480706E+000
 9.6632662E+000, 1.4922187E+002,-2.1653645E+001, 3.7338966E-001,-3.7861210E+000,-1.0004912E-002, 4.9176305E+001, 0.0000000E+000, 1.6891583E+002, 1.7332179E+002, 3.4279294E+001, 3.2144059E-003, 0.0000000E+000, 1.8236257E+002,-2.9636241E+000,-2.9745759E+000,-2.9560399E+000,-2.9389041E+000,-2.9465833E+000,-2.9474030E+000
 1.0029823E+001, 1.5590804E+002,-2.8411372E+001, 3.8834905E-001,-4.1402985E+000,-1.0269625E-002, 4.9546814E+001, 0.0000000E+000, 1.7204000E+002, 1.7328126E+002, 3.4279294E+001, 3.3042495E-003, 0.0000000E+000, 1.9693653E+002,-2.9704429E+000,-2.9786578E+000,-2.9571357E+000,-2.9417626E+000,-2.9536853E+000,-2.9481576E+000
