s,C,m,m
Time,"DOOR_TEMP","DOOR_VIS","LAYER_HEIGHT_DOOR"
 4.4708188E+001, 2.5474277E+001, 3.0000000E+001, 7.4590860E-001
 4.5002605E+001, 2.5532081E+001, 3.0000000E+001, 7.3712942E-001
 4.5395161E+001, 2.5551596E+001, 3.0000000E+001, 7.4028155E-001
 4.5689577E+001, 2.5538464E+001, 3.0000000E+001, 7.4271729E-001
 4.5973940E+001, 2.5525795E+001, 3.0000000E+001, 7.3923970E-001
 4.6238194E+001, 2.5527983E+001, 3.0000000E+001, 7.3132014E-001
 4.6502449E+001, 2.5546064E+001, 3.0000000E+001, 7.2164772E-001
 4.6854788E+001, 2.5584839E+001, 3.0000000E+001, 7.1430253E-001
 4.7119043E+001, 2.5635053E+001, 3.0000000E+001, 7.1265180E-001
 4.7471382E+001, 2.5690173E+001, 3.0000000E+001, 7.1838471E-001
 4.7735636E+001, 2.5742720E+001, 3.0000000E+001, 7.3434418E-001
 4.8087976E+001, 2.5799134E+001, 3.0000000E+001, 7.6160653E-001
 4.8343368E+001, 2.5866815E+001, 3.0000000E+001, 7.9332200E-001
 4.8635014E+001, 2.5950755E+001, 3.0000000E+001, 8.1840779E-001
 4.8932406E+001, 2.6090271E+001, 3.0000000E+001, 8.4606578E-001
 4.9218963E+001, 2.6269589E+001, 3.0000000E+001, 8.7542757E-001
 4.9566744E+001, 2.6484073E+001, 3.0000000E+001, 8.9829626E-001
 4.9844970E+001, 2.6668810E+001, 3.0000000E+001, 9.1495493E-001
 5.0173971E+001, 2.6799329E+001, 3.0000000E+001, 9.2921472E-001
 5.0426461E+001, 2.6907222E+001, 3.0000000E+001, 9.4701383E-001
 5.0763113E+001, 2.7022763E+001, 3.0000000E+001, 9.8276112E-001
 5.1015603E+001, 2.7151745E+001, 3.0000000E+001, 1.0143192E+000
 5.1377504E+001, 2.7288504E+001, 3.0000000E+001, 1.0237982E+000
 5.1655242E+001, 2.7422698E+001, 3.0000000E+001, 1.0409283E+000
 5.1932981E+001, 2.7550191E+001, 3.0000000E+001, 1.0769859E+000
 5.2210719E+001, 2.7704984E+001, 3.0000000E+001, 1.1284529E+000
 5.2549159E+001, 2.7895682E+001, 3.0000000E+001, 1.1719528E+000
 5.2876972E+001, 2.8103038E+001, 3.0000000E+001, 1.1889426E+000
 5.3122832E+001, 2.8248575E+001, 3.0000000E+001, 1.1828269E+000
 5.3450646E+001, 2.8342384E+001, 3.0000000E+001, 1.1543824E+000
 5.3778459E+001, 2.8421128E+001, 3.0000000E+001, 1.0919702E+000
 5.4024319E+001, 2.8511264E+001, 3.0000000E+001, 1.0203864E+000
 5.4352133E+001, 2.8641633E+001, 3.0000000E+001, 9.5620791E-001
 5.4679946E+001, 2.8827644E+001, 3.0000000E+001, 9.1802677E-001
 5.4925806E+001, 2.9013179E+001, 3.0000000E+001, 9.2739247E-001
 5.5270011E+001, 2.9233089E+001, 3.0000000E+001, 9.7047644E-001
 5.5558486E+001, 2.9498557E+001, 3.0000000E+001, 1.0167606E+000
 5.5855977E+001, 2.9771426E+001, 3.0000000E+001, 1.0522278E+000
 5.6153468E+001, 3.0079805E+001, 3.0000000E+001, 1.0913221E+000
 5.6450959E+001, 3.0403499E+001, 3.0000000E+001, 1.1333559E+000
 5.6748449E+001, 3.0744340E+001, 3.0000000E+001, 1.1627266E+000
 5.7033366E+001, 3.1069642E+001, 3.0000000E+001, 1.1720419E+000
 5.7379726E+001, 3.1372491E+001, 3.0000000E+001, 1.1628374E+000
 5.7639496E+001, 3.1611856E+001, 3.0000000E+001, 1.1340131E+000
 5.7985855E+001, 3.1868457E+001, 3.0000000E+001, 1.0899422E+000
 5.8245625E+001, 3.2224303E+001, 3.0000000E+001, 1.0477018E+000
 5.8505395E+001, 3.2642188E+001, 3.0000000E+001, 1.0184052E+000
 5.8851754E+001, 3.3232329E+001, 3.0000000E+001, 9.9682879E-001
 5.9111524E+001, 3.3858135E+001, 3.0000000E+001, 9.9846995E-001
 5.9457883E+001, 3.4494929E+001, 3.0000000E+001, 1.0121349E+000
 5.9717653E+001, 3.5106875E+001, 3.0000000E+001, 1.0118107E+000
 6.0064013E+001, 3.5674970E+001, 3.0000000E+001, 1.0038800E+000
 6.0323782E+001, 3.6227401E+001, 3.0000000E+001, 1.0054600E+000
 6.0670142E+001, 3.6800588E+001, 3.0000000E+001, 1.0195435E+000
 6.0929912E+001, 3.7345001E+001, 3.0000000E+001, 1.0406051E+000
 6.1276271E+001, 3.7783178E+001, 3.0000000E+001, 1.0664062E+000
 6.1536041E+001, 3.8106253E+001, 3.0000000E+001, 1.0910301E+000
 6.1882401E+001, 3.8342623E+001, 3.0000000E+001, 1.1099187E+000
 6.2142170E+001, 3.8535976E+001, 3.0000000E+001, 1.1223059E+000
 6.2401940E+001, 3.8646604E+001, 3.0000000E+001, 1.1269532E+000
 6.2748300E+001, 3.8751042E+001, 2.9980648E+001, 1.1266928E+000
 6.3008069E+001, 3.8850110E+001, 2.9822244E+001, 1.1238335E+000
 6.3354429E+001, 3.8898020E+001, 2.9706762E+001, 1.1212235E+000
 6.3614199E+001, 3.8871030E+001, 2.9751075E+001, 1.1173942E+000
 6.3960558E+001, 3.8771000E+001, 2.9939751E+001, 1.1104333E+000
 6.4269522E+001, 3.8615003E+001, 3.0000000E+001, 1.0956702E+000
 6.4501245E+001, 3.8478925E+001, 3.0000000E+001, 1.0802394E+000
 6.4810210E+001, 3.8365084E+001, 3.0000000E+001, 1.0685286E+000
 6.5119174E+001, 3.8295274E+001, 3.0000000E+001, 1.0629950E+000
 6.5428138E+001, 3.8330767E+001, 3.0000000E+001, 1.0634520E+000
 6.5760274E+001, 3.8489360E+001, 3.0000000E+001, 1.0670469E+000
 6.6015170E+001, 3.8759830E+001, 2.9981395E+001, 1.0708566E+000
 6.6355030E+001, 3.9202757E+001, 2.9283069E+001, 1.0748579E+000
 6.6635415E+001, 3.9754776E+001, 2.8255816E+001, 1.0764414E+000
 6.6915800E+001, 4.0173731E+001, 2.7521775E+001, 1.0756434E+000
 6.7279094E+001, 4.0503967E+001, 2.6955572E+001, 1.0802443E+000
 6.7527820E+001, 4.0724948E+001, 2.6590002E+001, 1.0934775E+000
 6.7849480E+001, 4.0877571E+001, 2.6357348E+001, 1.1223005E+000
 6.8141215E+001, 4.0995589E+001, 2.6181125E+001, 1.1578231E+000
 6.8432951E+001, 4.1064625E+001, 2.6076615E+001, 1.2030909E+000
 6.8724686E+001, 4.1086835E+001, 2.6039177E+001, 1.2635469E+000
 6.9031009E+001, 4.1055056E+001, 2.6095949E+001, 1.3432583E+000
 6.9351918E+001, 4.0990594E+001, 2.6225924E+001, 1.4388080E+000
 6.9672827E+001, 4.0931012E+001, 2.6372923E+001, 1.5324880E+000
 6.9913509E+001, 4.0886175E+001, 2.6482280E+001, 1.5920656E+000
 7.0234418E+001, 4.0851915E+001, 2.6560199E+001, 1.6353648E+000
 7.0555327E+001, 4.0829072E+001, 2.6604331E+001, 1.6670619E+000
 7.0876236E+001, 4.0817718E+001, 2.6596161E+001, 1.6919574E+000
 7.1140986E+001, 4.0827744E+001, 2.6542373E+001, 1.7212322E+000
 7.1405736E+001, 4.0863829E+001, 2.6444578E+001, 1.7352917E+000
 7.1758736E+001, 4.1007048E+001, 2.6210958E+001, 1.7144333E+000
 7.2011467E+001, 4.1271271E+001, 2.5832391E+001, 1.6642680E+000
 7.2316392E+001, 4.1580143E+001, 2.5358018E+001, 1.5998572E+000
 7.2621317E+001, 4.2016566E+001, 2.4684895E+001, 1.5208679E+000
 7.2918084E+001, 4.2514961E+001, 2.3955228E+001, 1.4501307E+000
 7.3265262E+001, 4.3057279E+001, 2.3272581E+001, 1.3911209E+000
 7.3564787E+001, 4.3602591E+001, 2.2673820E+001, 1.3484300E+000
 7.3864312E+001, 4.4097676E+001, 2.2143171E+001, 1.3219799E+000
 7.4146630E+001, 4.4551272E+001, 2.1664458E+001, 1.3008037E+000
 7.4441829E+001, 4.4988472E+001, 2.1232585E+001, 1.2800157E+000
 7.4763465E+001, 4.5546651E+001, 2.0725406E+001, 1.2569352E+000
 7.5040461E+001, 4.6189481E+001, 2.0189313E+001, 1.2336730E+000
 7.5331306E+001, 4.6889034E+001, 1.9637870E+001, 1.2072759E+000
 7.5643619E+001, 4.7628540E+001, 1.9056596E+001, 1.1782899E+000
 7.5978784E+001, 4.8339061E+001, 1.8522621E+001, 1.1523339E+000
 7.6230157E+001, 4.8834473E+001, 1.8175681E+001, 1.1339616E+000
 7.6512693E+001, 4.9094461E+001, 1.7993933E+001, 1.1162078E+000
 7.6865862E+001, 4.9236384E+001, 1.7896021E+001, 1.1007871E+000
 7.7148398E+001, 4.9222988E+001, 1.7910595E+001, 1.1023154E+000
 7.7459187E+001, 4.9085696E+001, 1.8018517E+001, 1.1187535E+000
 7.7715589E+001, 4.8858833E+001, 1.8192284E+001, 1.1459919E+000
 7.8011696E+001, 4.8566821E+001, 1.8412432E+001, 1.1812263E+000
 7.8307804E+001, 4.8153262E+001, 1.8727551E+001, 1.2241431E+000
 7.8603912E+001, 4.7696915E+001, 1.9101109E+001, 1.2595221E+000
 7.8929631E+001, 4.7267180E+001, 1.9501137E+001, 1.2744778E+000
 7.9255349E+001, 4.7007476E+001, 1.9791697E+001, 1.2741696E+000
 7.9581068E+001, 4.7024842E+001, 1.9813284E+001, 1.2596204E+000
 7.9802565E+001, 4.7241452E+001, 1.9618550E+001, 1.2339297E+000
 8.0152735E+001, 4.7662074E+001, 1.9249184E+001, 1.1978066E+000
 8.0460884E+001, 4.8300146E+001, 1.8713699E+001, 1.1551348E+000
 8.0769034E+001, 4.8896449E+001, 1.8271519E+001, 1.1434567E+000
 8.1000146E+001, 4.9264058E+001, 1.7983921E+001, 1.1661474E+000
 8.1308295E+001, 4.9461866E+001, 1.7784338E+001, 1.1969517E+000
 8.1616445E+001, 4.9417447E+001, 1.7714412E+001, 1.2289672E+000
 8.1924594E+001, 4.9073486E+001, 1.7830680E+001, 1.2682850E+000
 8.2232743E+001, 4.8627698E+001, 1.8069450E+001, 1.3029899E+000
 8.2540893E+001, 4.8305305E+001, 1.8317639E+001, 1.3139970E+000
 8.2849042E+001, 4.8305438E+001, 1.8381099E+001, 1.3209000E+000
 8.3157192E+001, 4.8894760E+001, 1.7986365E+001, 1.3040741E+000
 8.3465341E+001, 5.0009452E+001, 1.7282221E+001, 1.2711569E+000
 8.3773490E+001, 5.1315633E+001, 1.6532267E+001, 1.2397420E+000
 8.4004602E+001, 5.2483628E+001, 1.5938416E+001, 1.2264492E+000
 8.4312752E+001, 5.3384955E+001, 1.5497183E+001, 1.2314457E+000
 8.4620901E+001, 5.3974280E+001, 1.5212927E+001, 1.2436749E+000
 8.4905914E+001, 5.3936627E+001, 1.5244201E+001, 1.2484406E+000
 8.5252539E+001, 5.3277850E+001, 1.5577831E+001, 1.2455764E+000
 8.5529840E+001, 5.2587786E+001, 1.5922476E+001, 1.2390810E+000
 8.5807140E+001, 5.2433171E+001, 1.6010362E+001, 1.2301938E+000
 8.6105239E+001, 5.3015621E+001, 1.5731475E+001, 1.2075429E+000
 8.6460274E+001, 5.4322563E+001, 1.5094094E+001, 1.1766901E+000
 8.6730302E+001, 5.5413851E+001, 1.4571768E+001, 1.1583401E+000
 8.7000330E+001, 5.6145890E+001, 1.4234014E+001, 1.1497786E+000
 8.7337864E+001, 5.6806112E+001, 1.3979375E+001, 1.1345120E+000
 8.7607892E+001, 5.7155701E+001, 1.3864057E+001, 1.1079567E+000
 8.7958927E+001, 5.7214964E+001, 1.3875076E+001, 1.0722726E+000
 8.8255958E+001, 5.7076528E+001, 1.3943665E+001, 1.0365390E+000
 8.8552988E+001, 5.6812235E+001, 1.4043346E+001, 1.0129537E+000
 8.8850018E+001, 5.6529586E+001, 1.4153534E+001, 1.0010788E+000
 8.9147049E+001, 5.6253234E+001, 1.4241176E+001, 1.0016912E+000
 8.9444079E+001, 5.6020741E+001, 1.4276006E+001, 1.0121303E+000
 8.9741109E+001, 5.6057933E+001, 1.4217979E+001, 1.0288476E+000
 9.0038140E+001, 5.6426661E+001, 1.4063031E+001, 1.0461378E+000
 9.0335170E+001, 5.7206774E+001, 1.3773213E+001, 1.0601217E+000
 9.0632200E+001, 5.8187331E+001, 1.3430194E+001, 1.0739997E+000
 9.0929231E+001, 5.9133555E+001, 1.3114337E+001, 1.0909668E+000
 9.1226261E+001, 5.9912703E+001, 1.2855600E+001, 1.1068294E+000
 9.1523291E+001, 6.0351643E+001, 1.2671941E+001, 1.1154983E+000
 9.1820321E+001, 6.0505762E+001, 1.2574814E+001, 1.1159502E+000
 9.2117352E+001, 6.0459265E+001, 1.2540945E+001, 1.1099751E+000
 9.2465494E+001, 6.0253522E+001, 1.2551351E+001, 1.1023304E+000
 9.2731664E+001, 6.0023411E+001, 1.2584721E+001, 1.0962246E+000
 9.3064377E+001, 5.9884555E+001, 1.2603623E+001, 1.0867945E+000
 9.3337201E+001, 5.9874812E+001, 1.2584472E+001, 1.0723303E+000
 9.3629988E+001, 6.0018876E+001, 1.2526253E+001, 1.0576159E+000
 9.3922775E+001, 6.0287256E+001, 1.2433680E+001, 1.0484574E+000
 9.4215562E+001, 6.0603353E+001, 1.2330209E+001, 1.0465213E+000
 9.4508349E+001, 6.0884665E+001, 1.2244383E+001, 1.0467933E+000
 9.4806819E+001, 6.1083886E+001, 1.2180781E+001, 1.0433819E+000
 9.5105290E+001, 6.1148194E+001, 1.2149497E+001, 1.0353182E+000
 9.5403761E+001, 6.1087065E+001, 1.2155354E+001, 1.0253060E+000
 9.5702232E+001, 6.0963309E+001, 1.2191430E+001, 1.0105535E+000
 9.6000703E+001, 6.0796989E+001, 1.2231374E+001, 9.9016272E-001
 9.6358868E+001, 6.0612449E+001, 1.2263606E+001, 9.6171499E-001
 9.6621522E+001, 6.0482418E+001, 1.2282768E+001, 9.3444859E-001
 9.6956407E+001, 6.0435096E+001, 1.2284443E+001, 9.1356590E-001
 9.7245327E+001, 6.0475920E+001, 1.2264128E+001, 8.9983016E-001
 9.7534246E+001, 6.0601526E+001, 1.2223922E+001, 8.9487930E-001
 9.7823166E+001, 6.0854520E+001, 1.2151256E+001, 8.9802969E-001
 9.8152064E+001, 6.1309772E+001, 1.2027600E+001, 9.1544351E-001
 9.8421565E+001, 6.1905166E+001, 1.1872453E+001, 9.4602662E-001
 9.8703899E+001, 6.2425670E+001, 1.1716541E+001, 9.7473028E-001
 9.9056817E+001, 6.2772264E+001, 1.1580640E+001, 9.9537490E-001
 9.9339152E+001, 6.2842913E+001, 1.1518938E+001, 9.9807817E-001
 9.9621486E+001, 6.2729256E+001, 1.1522322E+001, 9.8468419E-001
 9.9903820E+001, 6.2601648E+001, 1.1537314E+001, 9.6193312E-001
 1.0025674E+002, 6.2755798E+001, 1.1482497E+001, 9.3530823E-001
 1.0053907E+002, 6.3353443E+001, 1.1323314E+001, 9.1882525E-001
 1.0082141E+002, 6.4081912E+001, 1.1119669E+001, 9.1800873E-001
 1.0110374E+002, 6.4742783E+001, 1.0941268E+001, 9.2916242E-001
 1.0145666E+002, 6.5396724E+001, 1.0785989E+001, 9.4873005E-001
 1.0173899E+002, 6.6183354E+001, 1.0633638E+001, 9.7058908E-001
 1.0202133E+002, 6.7175632E+001, 1.0451842E+001, 1.0141940E+000
 1.0230366E+002, 6.8171890E+001, 1.0246356E+001, 1.0822901E+000
 1.0265658E+002, 6.8763915E+001, 1.0103773E+001, 1.1325579E+000
 1.0293891E+002, 6.8906981E+001, 1.0071944E+001, 1.1521371E+000
 1.0322125E+002, 6.8877443E+001, 1.0070945E+001, 1.1724158E+000
 1.0350358E+002, 6.8796088E+001, 1.0059914E+001, 1.1975228E+000
